LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),IMD,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01003625,Newham 015A,E09000025,Newham,28.62 ,8697.00 ,3.00 ,0.14 ,11454.00 ,4.00 ,0.08 ,15927.00 ,5.00 ,17.97 ,15152.00 ,5.00 ,-0.29 ,20492.00 ,7.00 ,0.48 ,9343.00 ,3.00 ,56.76 ,35.00 ,1.00 ,39.20 ,4547.00 ,2.00 
E01003626,Newham 015B,E09000025,Newham,23.92 ,11413.00 ,4.00 ,0.11 ,14855.00 ,5.00 ,0.07 ,18345.00 ,6.00 ,10.12 ,21708.00 ,7.00 ,0.01 ,15934.00 ,5.00 ,0.11 ,14963.00 ,5.00 ,50.49 ,265.00 ,1.00 ,35.72 ,5933.00 ,2.00 
E01003627,Newham 015C,E09000025,Newham,28.43 ,8805.00 ,3.00 ,0.19 ,7119.00 ,3.00 ,0.09 ,14862.00 ,5.00 ,18.59 ,14705.00 ,5.00 ,0.16 ,13600.00 ,5.00 ,0.11 ,14980.00 ,5.00 ,46.66 ,785.00 ,1.00 ,31.00 ,8254.00 ,3.00 
E01003628,Newham 015D,E09000025,Newham,21.41 ,13234.00 ,5.00 ,0.13 ,13158.00 ,5.00 ,0.06 ,21567.00 ,7.00 ,11.36 ,20556.00 ,7.00 ,-0.33 ,21156.00 ,7.00 ,0.23 ,13022.00 ,4.00 ,47.21 ,676.00 ,1.00 ,29.17 ,9288.00 ,3.00 
E01003629,Newham 015E,E09000025,Newham,26.96 ,9618.00 ,3.00 ,0.16 ,9361.00 ,3.00 ,0.07 ,18936.00 ,6.00 ,17.23 ,15644.00 ,5.00 ,-0.38 ,21801.00 ,7.00 ,-0.11 ,18265.00 ,6.00 ,49.61 ,377.00 ,1.00 ,46.28 ,2604.00 ,1.00 
E01003630,Newham 021C,E09000025,Newham,29.83 ,8101.00 ,3.00 ,0.21 ,6192.00 ,2.00 ,0.11 ,10763.00 ,4.00 ,17.00 ,15813.00 ,5.00 ,-0.07 ,17069.00 ,6.00 ,0.44 ,9898.00 ,4.00 ,45.87 ,909.00 ,1.00 ,25.88 ,11242.00 ,4.00 
E01003631,Newham 020A,E09000025,Newham,27.24 ,9440.00 ,3.00 ,0.18 ,8342.00 ,3.00 ,0.09 ,14597.00 ,5.00 ,16.73 ,16021.00 ,5.00 ,-0.20 ,19105.00 ,6.00 ,0.27 ,12454.00 ,4.00 ,44.50 ,1148.00 ,1.00 ,37.67 ,5105.00 ,2.00 
E01003632,Newham 020B,E09000025,Newham,20.98 ,13571.00 ,5.00 ,0.12 ,13616.00 ,5.00 ,0.07 ,18661.00 ,6.00 ,14.52 ,17751.00 ,6.00 ,-0.48 ,23099.00 ,8.00 ,-0.06 ,17568.00 ,6.00 ,45.73 ,936.00 ,1.00 ,28.39 ,9729.00 ,3.00 
E01003633,Newham 020C,E09000025,Newham,39.45 ,4440.00 ,2.00 ,0.25 ,4050.00 ,2.00 ,0.18 ,4614.00 ,2.00 ,22.68 ,12117.00 ,4.00 ,0.42 ,10119.00 ,4.00 ,0.52 ,8811.00 ,3.00 ,50.67 ,248.00 ,1.00 ,20.38 ,14997.00 ,5.00 
E01003634,Newham 020D,E09000025,Newham,31.09 ,7499.00 ,3.00 ,0.18 ,7763.00 ,3.00 ,0.12 ,9840.00 ,3.00 ,21.63 ,12789.00 ,4.00 ,0.29 ,11823.00 ,4.00 ,0.04 ,16106.00 ,5.00 ,51.56 ,172.00 ,1.00 ,21.03 ,14540.00 ,5.00 
E01003635,Newham 016D,E09000025,Newham,24.62 ,10995.00 ,4.00 ,0.13 ,12721.00 ,4.00 ,0.08 ,15608.00 ,5.00 ,10.88 ,21003.00 ,7.00 ,-0.50 ,23352.00 ,8.00 ,1.07 ,3021.00 ,1.00 ,43.47 ,1336.00 ,1.00 ,28.08 ,9907.00 ,4.00 
E01003636,Newham 020E,E09000025,Newham,32.34 ,6945.00 ,3.00 ,0.21 ,5941.00 ,2.00 ,0.11 ,11427.00 ,4.00 ,16.99 ,15824.00 ,5.00 ,0.16 ,13661.00 ,5.00 ,1.02 ,3364.00 ,2.00 ,46.34 ,829.00 ,1.00 ,22.84 ,13238.00 ,5.00 
E01003637,Newham 021D,E09000025,Newham,21.98 ,12791.00 ,4.00 ,0.11 ,14933.00 ,5.00 ,0.06 ,20469.00 ,7.00 ,9.13 ,22732.00 ,7.00 ,-0.07 ,17011.00 ,6.00 ,0.44 ,9933.00 ,4.00 ,46.46 ,809.00 ,1.00 ,31.29 ,8112.00 ,3.00 
E01003638,Redbridge 017A,E09000026,Redbridge,17.69 ,16400.00 ,5.00 ,0.14 ,11611.00 ,4.00 ,0.09 ,13824.00 ,5.00 ,12.11 ,19845.00 ,7.00 ,-0.77 ,26718.00 ,9.00 ,-0.03 ,17167.00 ,6.00 ,29.09 ,7581.00 ,3.00 ,18.62 ,16340.00 ,5.00 
E01003639,Redbridge 013A,E09000026,Redbridge,20.28 ,14102.00 ,5.00 ,0.13 ,13000.00 ,4.00 ,0.09 ,13872.00 ,5.00 ,12.83 ,19181.00 ,6.00 ,-0.29 ,20420.00 ,7.00 ,0.38 ,10698.00 ,4.00 ,34.12 ,4512.00 ,2.00 ,20.87 ,14645.00 ,5.00 
E01003640,Redbridge 013B,E09000026,Redbridge,17.81 ,16305.00 ,5.00 ,0.09 ,17799.00 ,6.00 ,0.06 ,20588.00 ,7.00 ,11.46 ,20458.00 ,7.00 ,-0.75 ,26500.00 ,9.00 ,0.83 ,5124.00 ,2.00 ,32.46 ,5397.00 ,2.00 ,29.36 ,9175.00 ,3.00 
E01003641,Redbridge 013C,E09000026,Redbridge,14.28 ,19658.00 ,6.00 ,0.12 ,13634.00 ,5.00 ,0.07 ,19806.00 ,7.00 ,9.37 ,22504.00 ,7.00 ,-0.94 ,28294.00 ,9.00 ,0.11 ,15029.00 ,5.00 ,23.90 ,12242.00 ,4.00 ,23.11 ,13052.00 ,4.00 
